user_id,age,country,purchases,revenue
1,25,FR,7,749
2,24,RU,5,1115
3,52,FR,7,399
4,31,RU,6,654
5,,DE,6,1296
6,120,FR,-1,785
7,46,RU,0,0
8,28,CN,2,456
9,39,US,4,980
10,24,RU,7,511
11,24,US,4,0
12,20,CN,7,1652
13,,US,9,630
14,36,DE,9,2358
15,57,FR,7,693
16,22,FR,3,183
17,32,FR,6,1608
18,24,RU,0,0
19,47,RU,3,432
20,31,RU,2,442
21,5,RU,8,1488
22,33,FR,6,546
23,42,US,4,904
24,32,DE,11,2475
25,21,RU,5,650
26,35,US,5,330
27,54,RU,6,1302
28,43,US,3,828
29,47,FR,6,1440
30,52,DE,6,702
31,55,FR,1,142
32,26,RU,6,1080
33,23,US,5,445
34,28,FR,0,0
35,45,FR,2,404
36,51,US,3,342
37,18,DE,4,1104
38,35,DE,3,738
39,39,FR,7,1162
40,34,RU,7,2086
10,24,RU,7,511
